top - 01:46:18 up 8 min,  3 users,  load average: 0.92, 1.65, 0.92
Tasks: 334 total,   3 running, 331 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.0 us, 25.0 sy,  0.0 ni, 25.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   4050.4 total,    429.8 free,   3482.9 used,    325.0 buff/cache     
MiB Swap:    512.0 total,    400.5 free,    111.5 used.    567.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.83 kswapd7
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     78 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     79 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     80 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
     82 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.66 kworker+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.73 kworker+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
     96 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/159+
